video_id,frame_id,pelvis_x,pelvis_y
left_facing_1,1,711,349
left_facing_1,5,698,377
left_facing_1,9,695,400
left_facing_1,13,689,419
left_facing_1,17,689,432
left_facing_1,21,684,440
left_facing_1,25,684,451
left_facing_1,29,676,459
left_facing_1,33,676,469
left_facing_1,37,674,479
left_facing_1,41,674,484
left_facing_1,45,674,491
left_facing_1,49,678,495
left_facing_1,53,678,495
left_facing_1,57,678,503
left_facing_1,61,678,505
left_facing_1,65,679,508
left_facing_1,69,680,510
left_facing_1,73,679,513
left_facing_1,77,679,516
left_facing_1,82,682,518
left_facing_2,8,673,397
left_facing_2,13,673,398
left_facing_2,19,669,413
left_facing_2,24,649,454
left_facing_2,30,617,511
left_facing_2,35,608,538
left_facing_2,41,609,519
left_facing_2,47,629,472
left_facing_2,52,641,438
left_facing_2,58,661,404
left_facing_2,63,660,406
left_facing_2,69,668,394
left_facing_2,77,665,398
left_facing_2,83,665,398
left_facing_2,89,640,451
left_facing_2,94,614,510
left_facing_2,100,606,540
left_facing_2,105,611,508
left_facing_2,111,622,466
left_facing_2,116,626,470
left_facing_2,122,641,435
left_facing_2,128,661,405
left_facing_3,9,675,383
left_facing_3,12,676,381
left_facing_3,15,676,381
left_facing_3,19,673,380
left_facing_3,22,664,403
left_facing_3,26,653,434
left_facing_3,29,633,463
left_facing_3,32,615,505
left_facing_3,36,607,520
left_facing_3,39,603,534
left_facing_3,43,604,530
left_facing_3,46,611,504
left_facing_3,50,616,485
left_facing_3,53,633,448
left_facing_3,56,644,425
left_facing_3,60,657,398
left_facing_3,63,667,383
left_facing_3,67,671,376
left_facing_3,70,671,376
left_facing_3,74,671,376
left_facing_4,1,674,384
left_facing_4,7,674,392
left_facing_4,13,665,409
left_facing_4,19,652,445
left_facing_4,25,618,507
left_facing_4,31,609,531
left_facing_4,38,609,531
left_facing_4,44,632,464
left_facing_4,50,632,466
left_facing_4,56,655,427
left_facing_4,62,672,405
left_facing_4,69,678,390
left_facing_4,75,674,397
left_facing_4,81,661,411
left_facing_4,87,640,453
left_facing_4,93,616,507
left_facing_4,100,613,511
left_facing_4,106,608,534
left_facing_4,112,615,517
left_facing_4,118,628,457
left_facing_4,124,650,421
left_facing_4,131,671,402
left_facing_5,11,671,394
left_facing_5,13,670,394
left_facing_5,15,668,398
left_facing_5,18,668,399
left_facing_5,20,659,419
left_facing_5,23,656,415
left_facing_5,25,641,437
left_facing_5,28,629,473
left_facing_5,30,622,508
left_facing_5,33,621,512
left_facing_5,35,621,522
left_facing_5,38,621,526
left_facing_5,40,621,520
left_facing_5,42,627,490
left_facing_5,45,627,482
left_facing_5,47,634,454
left_facing_5,50,645,426
left_facing_5,52,654,407
left_facing_5,55,654,407
left_facing_5,57,669,389
left_facing_5,60,681,374
left_facing_5,62,683,376
left_facing_5,65,684,379
left_facing_5,67,684,379
left_facing_5,70,679,386
left_facing_6,1,709,356
left_facing_6,6,660,434
left_facing_6,12,637,480
left_facing_6,17,619,509
left_facing_6,23,619,512
