video_id,frame_id,pelvis_x,pelvis_y
left_facing_1,1,711.0,349.0
left_facing_1,2,707.75,356.0
left_facing_1,3,704.5,363.0
left_facing_1,4,701.25,370.0
left_facing_1,5,698.0,377.0
left_facing_1,6,697.25,382.75
left_facing_1,7,696.5,388.5
left_facing_1,8,695.75,394.25
left_facing_1,9,695.0,400.0
left_facing_1,10,693.5,404.75
left_facing_1,11,692.0,409.5
left_facing_1,12,690.5,414.25
left_facing_1,13,689.0,419.0
left_facing_1,14,689.0,422.25
left_facing_1,15,689.0,425.5
left_facing_1,16,689.0,428.75
left_facing_1,17,689.0,432.0
left_facing_1,18,687.75,434.0
left_facing_1,19,686.5,436.0
left_facing_1,20,685.25,438.0
left_facing_1,21,684.0,440.0
left_facing_1,22,684.0,442.75
left_facing_1,23,684.0,445.5
left_facing_1,24,684.0,448.25
left_facing_1,25,684.0,451.0
left_facing_1,26,682.0,453.0
left_facing_1,27,680.0,455.0
left_facing_1,28,678.0,457.0
left_facing_1,29,676.0,459.0
left_facing_1,30,676.0,461.5
left_facing_1,31,676.0,464.0
left_facing_1,32,676.0,466.5
left_facing_1,33,676.0,469.0
left_facing_1,34,675.5,471.5
left_facing_1,35,675.0,474.0
left_facing_1,36,674.5,476.5
left_facing_1,37,674.0,479.0
left_facing_1,38,674.0,480.25
left_facing_1,39,674.0,481.5
left_facing_1,40,674.0,482.75
left_facing_1,41,674.0,484.0
left_facing_1,42,674.0,485.75
left_facing_1,43,674.0,487.5
left_facing_1,44,674.0,489.25
left_facing_1,45,674.0,491.0
left_facing_1,46,675.0,492.0
left_facing_1,47,676.0,493.0
left_facing_1,48,677.0,494.0
left_facing_1,49,678.0,495.0
left_facing_1,50,678.0,495.0
left_facing_1,51,678.0,495.0
left_facing_1,52,678.0,495.0
left_facing_1,53,678.0,495.0
left_facing_1,54,678.0,497.0
left_facing_1,55,678.0,499.0
left_facing_1,56,678.0,501.0
left_facing_1,57,678.0,503.0
left_facing_1,58,678.0,503.5
left_facing_1,59,678.0,504.0
left_facing_1,60,678.0,504.5
left_facing_1,61,678.0,505.0
left_facing_1,62,678.25,505.75
left_facing_1,63,678.5,506.5
left_facing_1,64,678.75,507.25
left_facing_1,65,679.0,508.0
left_facing_1,66,679.25,508.5
left_facing_1,67,679.5,509.0
left_facing_1,68,679.75,509.5
left_facing_1,69,680.0,510.0
left_facing_1,70,679.75,510.75
left_facing_1,71,679.5,511.5
left_facing_1,72,679.25,512.25
left_facing_1,73,679.0,513.0
left_facing_1,74,679.0,513.75
left_facing_1,75,679.0,514.5
left_facing_1,76,679.0,515.25
left_facing_1,77,679.0,516.0
left_facing_1,78,679.6,516.4
left_facing_1,79,680.2,516.8
left_facing_1,80,680.8,517.2
left_facing_1,81,681.4,517.6
left_facing_1,82,682.0,518.0
left_facing_2,8,673.0,397.0
left_facing_2,9,673.0,397.2
left_facing_2,10,673.0,397.4
left_facing_2,11,673.0,397.6
left_facing_2,12,673.0,397.8
left_facing_2,13,673.0,398.0
left_facing_2,14,672.3333333333334,400.5
left_facing_2,15,671.6666666666666,403.0
left_facing_2,16,671.0,405.5
left_facing_2,17,670.3333333333334,408.0
left_facing_2,18,669.6666666666666,410.5
left_facing_2,19,669.0,413.0
left_facing_2,20,665.0,421.2
left_facing_2,21,661.0,429.4
left_facing_2,22,657.0,437.6
left_facing_2,23,653.0,445.8
left_facing_2,24,649.0,454.0
left_facing_2,25,643.6666666666666,463.5
left_facing_2,26,638.3333333333334,473.0
left_facing_2,27,633.0,482.5
left_facing_2,28,627.6666666666666,492.0
left_facing_2,29,622.3333333333334,501.5
left_facing_2,30,617.0,511.0
left_facing_2,31,615.2,516.4
left_facing_2,32,613.4,521.8
left_facing_2,33,611.6,527.2
left_facing_2,34,609.8,532.6
left_facing_2,35,608.0,538.0
left_facing_2,36,608.1666666666666,534.8333333333334
left_facing_2,37,608.3333333333334,531.6666666666666
left_facing_2,38,608.5,528.5
left_facing_2,39,608.6666666666666,525.3333333333334
left_facing_2,40,608.8333333333334,522.1666666666666
left_facing_2,41,609.0,519.0
left_facing_2,42,612.3333333333334,511.1666666666667
left_facing_2,43,615.6666666666666,503.3333333333333
left_facing_2,44,619.0,495.5
left_facing_2,45,622.3333333333334,487.6666666666667
left_facing_2,46,625.6666666666666,479.8333333333333
left_facing_2,47,629.0,472.0
left_facing_2,48,631.4,465.2
left_facing_2,49,633.8,458.4
left_facing_2,50,636.2,451.6
left_facing_2,51,638.6,444.8
left_facing_2,52,641.0,438.0
left_facing_2,53,644.3333333333334,432.3333333333333
left_facing_2,54,647.6666666666666,426.6666666666667
left_facing_2,55,651.0,421.0
left_facing_2,56,654.3333333333334,415.3333333333333
left_facing_2,57,657.6666666666666,409.6666666666667
left_facing_2,58,661.0,404.0
left_facing_2,59,660.8,404.4
left_facing_2,60,660.6,404.8
left_facing_2,61,660.4,405.2
left_facing_2,62,660.2,405.6
left_facing_2,63,660.0,406.0
left_facing_2,64,661.3333333333334,404.0
left_facing_2,65,662.6666666666666,402.0
left_facing_2,66,664.0,400.0
left_facing_2,67,665.3333333333334,398.0
left_facing_2,68,666.6666666666666,396.0
left_facing_2,69,668.0,394.0
left_facing_2,73,666.5,396.0
left_facing_2,74,666.125,396.5
left_facing_2,75,665.75,397.0
left_facing_2,76,665.375,397.5
left_facing_2,77,665.0,398.0
left_facing_2,78,665.0,398.0
left_facing_2,79,665.0,398.0
left_facing_2,80,665.0,398.0
left_facing_2,81,665.0,398.0
left_facing_2,82,665.0,398.0
left_facing_2,83,665.0,398.0
left_facing_2,84,660.8333333333334,406.8333333333333
left_facing_2,85,656.6666666666666,415.6666666666667
left_facing_2,86,652.5,424.5
left_facing_2,87,648.3333333333334,433.3333333333333
left_facing_2,88,644.1666666666666,442.1666666666667
left_facing_2,89,640.0,451.0
left_facing_2,90,634.8,462.8
left_facing_2,91,629.6,474.6
left_facing_2,92,624.4,486.4
left_facing_2,93,619.2,498.2
left_facing_2,94,614.0,510.0
left_facing_2,95,612.6666666666666,515.0
left_facing_2,96,611.3333333333334,520.0
left_facing_2,97,610.0,525.0
left_facing_2,98,608.6666666666666,530.0
left_facing_2,99,607.3333333333334,535.0
left_facing_2,100,606.0,540.0
left_facing_2,101,607.0,533.6
left_facing_2,102,608.0,527.2
left_facing_2,103,609.0,520.8
left_facing_2,104,610.0,514.4
left_facing_2,105,611.0,508.0
left_facing_2,106,612.8333333333334,501.0
left_facing_2,107,614.6666666666666,494.0
left_facing_2,108,616.5,487.0
left_facing_2,109,618.3333333333334,480.0
left_facing_2,110,620.1666666666666,473.0
left_facing_2,111,622.0,466.0
left_facing_2,112,622.8,466.8
left_facing_2,113,623.6,467.6
left_facing_2,114,624.4,468.4
left_facing_2,115,625.2,469.2
left_facing_2,116,626.0,470.0
left_facing_2,117,628.5,464.1666666666667
left_facing_2,118,631.0,458.3333333333333
left_facing_2,119,633.5,452.5
left_facing_2,120,636.0,446.6666666666667
left_facing_2,121,638.5,440.8333333333333
left_facing_2,122,641.0,435.0
left_facing_2,123,644.3333333333334,430.0
left_facing_2,124,647.6666666666666,425.0
left_facing_2,125,651.0,420.0
left_facing_2,126,654.3333333333334,415.0
left_facing_2,127,657.6666666666666,410.0
left_facing_2,128,661.0,405.0
left_facing_3,9,675.0,383.0
left_facing_3,10,675.3333333333334,382.3333333333333
left_facing_3,11,675.6666666666666,381.6666666666667
left_facing_3,12,676.0,381.0
left_facing_3,13,676.0,381.0
left_facing_3,14,676.0,381.0
left_facing_3,15,676.0,381.0
left_facing_3,16,675.25,380.75
left_facing_3,17,674.5,380.5
left_facing_3,18,673.75,380.25
left_facing_3,19,673.0,380.0
left_facing_3,20,670.0,387.6666666666667
left_facing_3,21,667.0,395.3333333333333
left_facing_3,22,664.0,403.0
left_facing_3,23,661.25,410.75
left_facing_3,24,658.5,418.5
left_facing_3,25,655.75,426.25
left_facing_3,26,653.0,434.0
left_facing_3,27,646.3333333333334,443.6666666666667
left_facing_3,28,639.6666666666666,453.3333333333333
left_facing_3,29,633.0,463.0
left_facing_3,30,627.0,477.0
left_facing_3,31,621.0,491.0
left_facing_3,32,615.0,505.0
left_facing_3,33,613.0,508.75
left_facing_3,34,611.0,512.5
left_facing_3,35,609.0,516.25
left_facing_3,36,607.0,520.0
left_facing_3,37,605.6666666666666,524.6666666666666
left_facing_3,38,604.3333333333334,529.3333333333334
left_facing_3,39,603.0,534.0
left_facing_3,40,603.25,533.0
left_facing_3,41,603.5,532.0
left_facing_3,42,603.75,531.0
left_facing_3,43,604.0,530.0
left_facing_3,44,606.3333333333334,521.3333333333334
left_facing_3,45,608.6666666666666,512.6666666666666
left_facing_3,46,611.0,504.0
left_facing_3,47,612.25,499.25
left_facing_3,48,613.5,494.5
left_facing_3,49,614.75,489.75
left_facing_3,50,616.0,485.0
left_facing_3,51,621.6666666666666,472.6666666666667
left_facing_3,52,627.3333333333334,460.3333333333333
left_facing_3,53,633.0,448.0
left_facing_3,54,636.6666666666666,440.3333333333333
left_facing_3,55,640.3333333333334,432.6666666666667
left_facing_3,56,644.0,425.0
left_facing_3,57,647.25,418.25
left_facing_3,58,650.5,411.5
left_facing_3,59,653.75,404.75
left_facing_3,60,657.0,398.0
left_facing_3,61,660.3333333333334,393.0
left_facing_3,62,663.6666666666666,388.0
left_facing_3,63,667.0,383.0
left_facing_3,64,668.0,381.25
left_facing_3,65,669.0,379.5
left_facing_3,66,670.0,377.75
left_facing_3,67,671.0,376.0
left_facing_3,68,671.0,376.0
left_facing_3,69,671.0,376.0
left_facing_3,70,671.0,376.0
left_facing_3,71,671.0,376.0
left_facing_3,72,671.0,376.0
left_facing_3,73,671.0,376.0
left_facing_3,74,671.0,376.0
left_facing_4,1,674.0,384.0
left_facing_4,2,674.0,385.3333333333333
left_facing_4,3,674.0,386.6666666666667
left_facing_4,4,674.0,388.0
left_facing_4,5,674.0,389.3333333333333
left_facing_4,6,674.0,390.6666666666667
left_facing_4,7,674.0,392.0
left_facing_4,8,672.5,394.8333333333333
left_facing_4,9,671.0,397.6666666666667
left_facing_4,10,669.5,400.5
left_facing_4,11,668.0,403.3333333333333
left_facing_4,12,666.5,406.1666666666667
left_facing_4,13,665.0,409.0
left_facing_4,14,662.8333333333334,415.0
left_facing_4,15,660.6666666666666,421.0
left_facing_4,16,658.5,427.0
left_facing_4,17,656.3333333333334,433.0
left_facing_4,18,654.1666666666666,439.0
left_facing_4,19,652.0,445.0
left_facing_4,20,646.3333333333334,455.3333333333333
left_facing_4,21,640.6666666666666,465.6666666666667
left_facing_4,22,635.0,476.0
left_facing_4,23,629.3333333333334,486.3333333333333
left_facing_4,24,623.6666666666666,496.6666666666667
left_facing_4,25,618.0,507.0
left_facing_4,26,616.5,511.0
left_facing_4,27,615.0,515.0
left_facing_4,28,613.5,519.0
left_facing_4,29,612.0,523.0
left_facing_4,30,610.5,527.0
left_facing_4,31,609.0,531.0
left_facing_4,32,609.0,531.0
left_facing_4,33,609.0,531.0
left_facing_4,34,609.0,531.0
left_facing_4,35,609.0,531.0
left_facing_4,36,609.0,531.0
left_facing_4,37,609.0,531.0
left_facing_4,38,609.0,531.0
left_facing_4,39,612.8333333333334,519.8333333333334
left_facing_4,40,616.6666666666666,508.6666666666667
left_facing_4,41,620.5,497.5
left_facing_4,42,624.3333333333334,486.3333333333333
left_facing_4,43,628.1666666666666,475.1666666666667
left_facing_4,44,632.0,464.0
left_facing_4,45,632.0,464.3333333333333
left_facing_4,46,632.0,464.6666666666667
left_facing_4,47,632.0,465.0
left_facing_4,48,632.0,465.3333333333333
left_facing_4,49,632.0,465.6666666666667
left_facing_4,50,632.0,466.0
left_facing_4,51,635.8333333333334,459.5
left_facing_4,52,639.6666666666666,453.0
left_facing_4,53,643.5,446.5
left_facing_4,54,647.3333333333334,440.0
left_facing_4,55,651.1666666666666,433.5
left_facing_4,56,655.0,427.0
left_facing_4,57,657.8333333333334,423.3333333333333
left_facing_4,58,660.6666666666666,419.6666666666667
left_facing_4,59,663.5,416.0
left_facing_4,60,666.3333333333334,412.3333333333333
left_facing_4,61,669.1666666666666,408.6666666666667
left_facing_4,62,672.0,405.0
left_facing_4,63,672.8571428571429,402.85714285714283
left_facing_4,64,673.7142857142857,400.7142857142857
left_facing_4,65,674.5714285714286,398.57142857142856
left_facing_4,66,675.4285714285714,396.42857142857144
left_facing_4,67,676.2857142857143,394.2857142857143
left_facing_4,68,677.1428571428571,392.14285714285717
left_facing_4,69,678.0,390.0
left_facing_4,70,677.3333333333334,391.1666666666667
left_facing_4,71,676.6666666666666,392.3333333333333
left_facing_4,72,676.0,393.5
left_facing_4,73,675.3333333333334,394.6666666666667
left_facing_4,74,674.6666666666666,395.8333333333333
left_facing_4,75,674.0,397.0
left_facing_4,76,671.8333333333334,399.3333333333333
left_facing_4,77,669.6666666666666,401.6666666666667
left_facing_4,78,667.5,404.0
left_facing_4,79,665.3333333333334,406.3333333333333
left_facing_4,80,663.1666666666666,408.6666666666667
left_facing_4,81,661.0,411.0
left_facing_4,82,657.5,418.0
left_facing_4,83,654.0,425.0
left_facing_4,84,650.5,432.0
left_facing_4,85,647.0,439.0
left_facing_4,86,643.5,446.0
left_facing_4,87,640.0,453.0
left_facing_4,88,636.0,462.0
left_facing_4,89,632.0,471.0
left_facing_4,90,628.0,480.0
left_facing_4,91,624.0,489.0
left_facing_4,92,620.0,498.0
left_facing_4,93,616.0,507.0
left_facing_4,94,615.5714285714286,507.57142857142856
left_facing_4,95,615.1428571428571,508.14285714285717
left_facing_4,96,614.7142857142857,508.7142857142857
left_facing_4,97,614.2857142857143,509.2857142857143
left_facing_4,98,613.8571428571429,509.85714285714283
left_facing_4,99,613.4285714285714,510.42857142857144
left_facing_4,100,613.0,511.0
left_facing_4,101,612.1666666666666,514.8333333333334
left_facing_4,102,611.3333333333334,518.6666666666666
left_facing_4,103,610.5,522.5
left_facing_4,104,609.6666666666666,526.3333333333334
left_facing_4,105,608.8333333333334,530.1666666666666
left_facing_4,106,608.0,534.0
left_facing_4,107,609.1666666666666,531.1666666666666
left_facing_4,108,610.3333333333334,528.3333333333334
left_facing_4,109,611.5,525.5
left_facing_4,110,612.6666666666666,522.6666666666666
left_facing_4,111,613.8333333333334,519.8333333333334
left_facing_4,112,615.0,517.0
left_facing_4,113,617.1666666666666,507.0
left_facing_4,114,619.3333333333334,497.0
left_facing_4,115,621.5,487.0
left_facing_4,116,623.6666666666666,477.0
left_facing_4,117,625.8333333333334,467.0
left_facing_4,118,628.0,457.0
left_facing_4,119,631.6666666666666,451.0
left_facing_4,120,635.3333333333334,445.0
left_facing_4,121,639.0,439.0
left_facing_4,122,642.6666666666666,433.0
left_facing_4,123,646.3333333333334,427.0
left_facing_4,124,650.0,421.0
left_facing_4,125,653.0,418.2857142857143
left_facing_4,126,656.0,415.57142857142856
left_facing_4,127,659.0,412.85714285714283
left_facing_4,128,662.0,410.14285714285717
left_facing_4,129,665.0,407.42857142857144
left_facing_4,130,668.0,404.7142857142857
left_facing_4,131,671.0,402.0
left_facing_5,11,671.0,394.0
left_facing_5,12,670.5,394.0
left_facing_5,13,670.0,394.0
left_facing_5,14,669.0,396.0
left_facing_5,15,668.0,398.0
left_facing_5,16,668.0,398.3333333333333
left_facing_5,17,668.0,398.6666666666667
left_facing_5,18,668.0,399.0
left_facing_5,19,663.5,409.0
left_facing_5,20,659.0,419.0
left_facing_5,21,658.0,417.6666666666667
left_facing_5,22,657.0,416.3333333333333
left_facing_5,23,656.0,415.0
left_facing_5,24,648.5,426.0
left_facing_5,25,641.0,437.0
left_facing_5,26,637.0,449.0
left_facing_5,27,633.0,461.0
left_facing_5,28,629.0,473.0
left_facing_5,29,625.5,490.5
left_facing_5,30,622.0,508.0
left_facing_5,31,621.6666666666666,509.3333333333333
left_facing_5,32,621.3333333333334,510.6666666666667
left_facing_5,33,621.0,512.0
left_facing_5,34,621.0,517.0
left_facing_5,35,621.0,522.0
left_facing_5,36,621.0,523.3333333333334
left_facing_5,37,621.0,524.6666666666666
left_facing_5,38,621.0,526.0
left_facing_5,39,621.0,523.0
left_facing_5,40,621.0,520.0
left_facing_5,41,624.0,505.0
left_facing_5,42,627.0,490.0
left_facing_5,43,627.0,487.3333333333333
left_facing_5,44,627.0,484.6666666666667
left_facing_5,45,627.0,482.0
left_facing_5,46,630.5,468.0
left_facing_5,47,634.0,454.0
left_facing_5,48,637.6666666666666,444.6666666666667
left_facing_5,49,641.3333333333334,435.3333333333333
left_facing_5,50,645.0,426.0
left_facing_5,51,649.5,416.5
left_facing_5,52,654.0,407.0
left_facing_5,53,654.0,407.0
left_facing_5,54,654.0,407.0
left_facing_5,55,654.0,407.0
left_facing_5,56,661.5,398.0
left_facing_5,57,669.0,389.0
left_facing_5,58,673.0,384.0
left_facing_5,59,677.0,379.0
left_facing_5,60,681.0,374.0
left_facing_5,61,682.0,375.0
left_facing_5,62,683.0,376.0
left_facing_5,63,683.3333333333334,377.0
left_facing_5,64,683.6666666666666,378.0
left_facing_5,65,684.0,379.0
left_facing_5,66,684.0,379.0
left_facing_5,67,684.0,379.0
left_facing_5,68,682.3333333333334,381.3333333333333
