video_id,frame_id,Pelvis_x,Pelvis_y,Pelvis_z,RHip_x,RHip_y,RHip_z,RKnee_x,RKnee_y,RKnee_z,RAnkle_x,RAnkle_y,RAnkle_z,LHip_x,LHip_y,LHip_z,LKnee_x,LKnee_y,LKnee_z,LAnkle_x,LAnkle_y,LAnkle_z,Spine1_x,Spine1_y,Spine1_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Site_x,Site_y,Site_z,LShoulder_x,LShoulder_y,LShoulder_z,LElbow_x,LElbow_y,LElbow_z,LWrist_x,LWrist_y,LWrist_z,RShoulder_x,RShoulder_y,RShoulder_z,RElbow_x,RElbow_y,RElbow_z,RWrist_x,RWrist_y,RWrist_z,rep_count,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,hip_spine_angle,left_knee_angle,right_knee_angle,spine_alignment,head_neck_spine_angle,state
video_1,0,0.003297877,-0.005012474,0.801451206,0.190983936,0.04776099,0.796728969,0.102590375,-0.217704713,0.615875423,0.085078612,0.12061505,0.535941482,-0.190982759,-0.047760542,0.807081342,-0.118792027,-0.234794095,0.597585678,-0.114804745,0.018793598,0.588789463,-0.052151717,-0.136465743,0.997329235,-0.061375663,-0.196403742,0.991498709,-0.174188331,-0.053327888,0.953276157,-0.161241382,0.086275741,0,-0.37776494,-0.23522529,1.031571388,-0.568294883,-0.308307588,0.798871279,-0.64430666,-0.353531271,0.321335316,0.245376214,-0.250948012,1.072272301,0.468168885,-0.280980676,0.83144474,0.561298132,-0.444614828,0.482339799,3,149.0498296,147.1174909,125.3835818,118.6189231,112.7417277,52.00499142,50.47048247,119.4045866,112.5526454,2
video_1,1,0.003264656,-0.004945894,0.802785277,0.188000187,0.047147144,0.796973526,0.099586539,-0.210256696,0.620219469,0.08971604,0.126621723,0.541912675,-0.18799904,-0.047146764,0.809496522,-0.114911012,-0.227470979,0.600915134,-0.108698726,0.025094703,0.596325099,-0.050442532,-0.136775658,0.998389006,-0.058031607,-0.19964017,0.992772281,-0.17196165,-0.056758277,0.947447181,-0.16096732,0.078570127,0,-0.373500049,-0.236999452,1.033445597,-0.568395495,-0.308246404,0.800600946,-0.642996967,-0.351649672,0.323617458,0.247197822,-0.252454281,1.073884964,0.467813641,-0.278367728,0.834202886,0.567169011,-0.441191703,0.479848295,3,148.3478577,147.6277036,125.7325415,118.136524,112.6980922,52.24439691,50.11688784,119.6008656,112.9545007,2
video_1,2,0.003249402,-0.004917774,0.80316925,0.188128814,0.047144901,0.79734242,0.102685437,-0.207199275,0.620784521,0.08008375,0.13316296,0.54238987,-0.188127667,-0.047144521,0.809891045,-0.114489958,-0.228027835,0.600909531,-0.112358555,0.024589777,0.595355034,-0.050241113,-0.137576848,0.998781621,-0.058204558,-0.201328933,0.993006527,-0.177230477,-0.057646208,0.94371736,-0.164126143,0.075786442,0,-0.373751193,-0.237697273,1.034264207,-0.567294657,-0.308182955,0.800751805,-0.641835809,-0.351256907,0.324702322,0.247445986,-0.253817976,1.07427752,0.467690736,-0.278539211,0.832366824,0.56700021,-0.441457868,0.486703485,3,148.6378411,147.7225592,125.377941,117.7570141,112.6542183,52.12213704,50.96751983,119.7364269,111.4264981,2
video_1,3,0.003248768,-0.004905886,0.7989344,0.18906121,0.046899881,0.793043971,0.100832008,-0.211506993,0.620916188,0.077260487,0.131682187,0.546897531,-0.189060092,-0.046899501,0.805715621,-0.116871804,-0.233072862,0.60008502,-0.110574119,0.019631252,0.595692694,-0.050883465,-0.135489851,0.996145904,-0.060347706,-0.197010905,0.991610289,-0.180346325,-0.053522609,0.943079531,-0.169297859,0.081582651,0,-0.375150442,-0.233044773,1.033065677,-0.564731181,-0.303909361,0.799404204,-0.643055141,-0.346057296,0.323615074,0.245171636,-0.250287294,1.073977709,0.465036869,-0.27615729,0.834102273,0.564811766,-0.438946337,0.484314591,3,149.564498,147.7841171,124.5789317,117.5699217,112.586285,50.91352934,49.4336708,120.3497257,110.6969464,2
video_1,4,0.003249887,-0.004909771,0.797904193,0.187886417,0.0469121,0.793434024,0.102107786,-0.210690737,0.621110976,0.080046162,0.130727127,0.546709776,-0.187885255,-0.04691175,0.803265631,-0.114449948,-0.230978176,0.599954784,-0.107133068,0.022999093,0.600131273,-0.050053649,-0.135580093,0.995073795,-0.05874975,-0.197850645,0.99096173,-0.181275129,-0.054120935,0.943392336,-0.169767708,0.080789775,0,-0.373849034,-0.234340817,1.033527374,-0.567321301,-0.305673987,0.800493002,-0.641160011,-0.347899258,0.324103832,0.246860668,-0.251023829,1.071605206,0.468281358,-0.276442081,0.833057344,0.565878153,-0.440463096,0.482868195,3,148.4428377,147.0970068,124.948569,118.1253065,112.0947004,50.12669612,49.4239998,120.6549767,111.2469777,2
video_1,5,0.003241527,-0.004898732,0.796260536,0.189036354,0.047473665,0.791801035,0.106896289,-0.21505332,0.623411775,0.080907457,0.125221133,0.545855343,-0.189035177,-0.047473278,0.801604629,-0.111581162,-0.238116339,0.598021686,-0.10953851,0.013229489,0.593359113,-0.050670262,-0.13450256,0.993042052,-0.060234047,-0.194935262,0.988615751,-0.18209143,-0.051684976,0.943012357,-0.16934,0.084663108,0,-0.375153899,-0.231914937,1.029750586,-0.567877531,-0.303910494,0.797973275,-0.641649365,-0.346065938,0.322272539,0.245489702,-0.248311654,1.071090937,0.46459794,-0.274496675,0.834071577,0.562365055,-0.438135505,0.479286253,3,148.3672568,147.3339757,125.3086634,117.8146976,112.2624727,49.96525528,48.94256746,120.281058,110.6255605,2
video_1,6,0.003225119,-0.004858185,0.796357036,0.188531205,0.047028679,0.791891158,0.102897875,-0.214450598,0.62360847,0.080768578,0.126000524,0.547481418,-0.188530058,-0.047028307,0.801697135,-0.112281546,-0.23641406,0.597835898,-0.108964026,0.016387895,0.597256184,-0.051017802,-0.134544849,0.992834628,-0.060211778,-0.196127355,0.98809886,-0.179851279,-0.053496562,0.940009117,-0.168568522,0.081162423,0,-0.374473184,-0.23201552,1.029886246,-0.56647706,-0.3033714,0.800250411,-0.640756011,-0.344817787,0.325617254,0.24522233,-0.248426303,1.070470333,0.464596421,-0.273660451,0.831923008,0.562369823,-0.436101884,0.481604725,3,148.2773075,147.4258446,125.3811135,117.6822363,112.3167434,49.36241635,48.76431155,120.0514354,110.7018042,2
video_1,7,0.003207527,-0.00480335,0.792344451,0.187618181,0.047007728,0.787769735,0.106300816,-0.213306427,0.623410106,0.08477553,0.129210398,0.550245762,-0.187617064,-0.047007386,0.797779322,-0.112636484,-0.237468675,0.59662354,-0.108268797,0.015600011,0.596866548,-0.051560637,-0.133044004,0.990825891,-0.060744822,-0.194332585,0.987798691,-0.180906877,-0.051968083,0.935328007,-0.168899298,0.080093682,0,-0.371575862,-0.228898853,1.028924704,-0.565909624,-0.300584853,0.798658729,-0.6350981,-0.340903461,0.325153828,0.242140397,-0.246142611,1.072396636,0.462962657,-0.270691276,0.834459841,0.563472033,-0.432831913,0.47965917,3,147.446058,147.4939771,125.3755979,117.1046389,112.3211596,48.72111589,47.56974629,121.0451998,111.0081717,2
video_1,8,0.003180796,-0.00474722,0.791282117,0.187459111,0.045363005,0.78623569,0.098916732,-0.220723987,0.6205194,0.090937249,0.116193473,0.545045495,-0.187458009,-0.045362663,0.797169745,-0.114613399,-0.239298508,0.594824612,-0.110521436,0.012053654,0.594807267,-0.050357755,-0.132370889,0.987254977,-0.058934491,-0.193437815,0.983233452,-0.176184341,-0.051754758,0.933170378,-0.165259629,0.080413625,0,-0.368999541,-0.227746964,1.025556087,-0.565134525,-0.29853493,0.797367871,-0.629558027,-0.337932795,0.32415086,0.243313313,-0.244735137,1.066383123,0.462863803,-0.266452342,0.832734168,0.562532663,-0.427044898,0.473350644,3,146.4200177,146.9235187,125.7791946,117.6963236,112.1092268,48.28198839,47.19924984,120.230499,111.6687079,2
video_1,9,0.003131878,-0.004637209,0.789691031,0.185500175,0.045923118,0.784956276,0.096520849,-0.217224211,0.619622946,0.079921626,0.12141712,0.546238661,-0.185499132,-0.045922805,0.795231462,-0.109180391,-0.239702985,0.592598319,-0.10696204,0.008918867,0.591915965,-0.050350897,-0.133229539,0.985041261,-0.059423782,-0.197508991,0.980034769,-0.174138382,-0.057050548,0.923687816,-0.164358214,0.069173798,0,-0.367540121,-0.23123455,1.026329756,-0.56480962,-0.300609201,0.800276577,-0.624969423,-0.336652428,0.32626462,0.241775975,-0.244995937,1.060884833,0.462077916,-0.262327373,0.828003347,0.558671951,-0.420580566,0.473118603,3,145.4414157,146.080713,125.64607,118.0771603,112.2269236,48.50211357,47.67830068,119.8425062,109.7222851,2
